classification,split,cmo,old_value,new_value,n,population
grupo_ocu9_damian,validation,2122,1,1,28,9542
grupo_ocu9_damian,train,7111,4,3,38,9138
grupo_ocu9_damian,train,8124,9,8,7,1159
grupo_ocu9_damian,train,5180,1,9,1,288
grupo_ocu9_damian,validation,6221,3,2,8,2265
grupo_ocu9_damian,validation,1310,2,2,89,25101
grupo_ocu9_damian,validation,6230,3,3,103,25345
grupo_ocu9_damian,validation,6202,3,3,63,15740
grupo_ocu9_damian,train,8125,5,7,1,219
grupo_ocu9_damian,train,8151,5,4,1,239
grupo_ocu9_damian,train,7211,9,9,14,6351
grupo_ocu9_damian,validation,5244,7,8,1,175
grupo_ocu9_damian,validation,5481,9,8,16,9144
grupo_ocu9_damian,validation,5431,9,8,2,361
grupo_ocu9_damian,train,5181,7,1,2,384
grupo_ocu9_damian,train,1221,2,3,3,397
grupo_ocu9_damian,train,1121,2,2,15,4900
grupo_ocu9_damian,train,1104,2,1,4,1020
grupo_ocu9_damian,validation,7131,4,3,2,356
grupo_ocu9_damian,validation,1221,2,3,3,446
grupo_ocu9_damian,train,2124,1,1,25,7428
grupo_ocu9_damian,train,5202,7,5,9,2349
grupo_ocu9_damian,train,5101,7,8,7,1956
grupo_ocu9_damian,train,5141,2,2,25,5611
grupo_ocu9_damian,train,1120,2,2,18,4729
grupo_ocu9_damian,train,8300,5,5,11,2258
grupo_ocu9_damian,validation,5141,2,1,11,4831
grupo_ocu9_damian,validation,5244,7,7,11,2191
grupo_ocu9_damian,validation,5100,1,1,3,448
grupo_ocu9_damian,validation,7100,4,9,75,29351
grupo_ocu9_damian,validation,6111,1,1,52,10723
grupo_ocu9_damian,validation,5230,7,8,3,993
grupo_ocu9_damian,train,5345,8,1,1,203
grupo_ocu9_damian,train,6111,1,4,6,1221
grupo_ocu9_damian,train,1205,2,3,13,1797
grupo_ocu9_damian,validation,5345,8,9,5,1445
grupo_ocu9_damian,validation,5250,7,7,3,789
grupo_ocu9_damian,validation,5223,7,8,3,521
grupo_ocu9_damian,validation,5302,8,7,4,683
grupo_ocu9_damian,train,6140,2,1,11,1876
grupo_ocu9_damian,validation,5245,2,7,3,807
grupo_ocu9_damian,validation,8301,1,2,16,7618
grupo_ocu9_damian,train,1164,2,2,32,14344
grupo_ocu9_damian,train,5481,9,9,9,3418
grupo_ocu9_damian,train,5332,8,8,8,2162
grupo_ocu9_damian,train,1200,2,1,1,276
grupo_ocu9_damian,train,5333,8,9,3,1017
grupo_ocu9_damian,train,2122,1,2,7,3758
grupo_ocu9_damian,validation,8124,9,8,12,4457
grupo_ocu9_damian,validation,5130,1,1,1,282
grupo_ocu9_damian,train,5170,1,9,3,395
grupo_ocu9_damian,train,6211,3,2,1,234
grupo_ocu9_damian,train,5334,8,8,7,1716
grupo_ocu9_damian,validation,8159,5,9,2,347
grupo_ocu9_damian,train,6133,1,3,2,375
grupo_ocu9_damian,train,5431,9,7,2,626
grupo_ocu9_damian,train,7111,4,5,7,1120
grupo_ocu9_damian,validation,6111,1,4,8,1401
grupo_ocu9_damian,validation,1204,2,8,10,3912
grupo_ocu9_damian,validation,5334,8,8,5,1936
grupo_ocu9_damian,validation,5383,8,7,3,719
grupo_ocu9_damian,validation,5345,8,2,10,3252
grupo_ocu9_damian,validation,8123,9,9,50,15090
grupo_ocu9_damian,train,1252,2,3,4,697
grupo_ocu9_damian,train,6210,3,4,38,9955
grupo_ocu9_damian,validation,6102,1,3,11,1813
grupo_ocu9_damian,train,1151,2,2,17,4785
grupo_ocu9_damian,validation,5181,7,1,3,2173
grupo_ocu9_damian,validation,1221,2,2,10,2112
grupo_ocu9_damian,validation,5420,9,9,26,6524
grupo_ocu9_damian,train,5267,7,1,2,332
grupo_ocu9_damian,train,6260,3,3,14,9261
grupo_ocu9_damian,train,5383,8,3,2,1280
grupo_ocu9_damian,train,5332,8,7,3,718
grupo_ocu9_damian,train,1390,2,2,16,2786
grupo_ocu9_damian,validation,8150,3,6,1,249
grupo_ocu9_damian,validation,7111,4,1,9,5045
grupo_ocu9_damian,validation,5131,8,7,2,453
grupo_ocu9_damian,train,7121,8,4,21,6466
grupo_ocu9_damian,train,5225,7,7,8,1925
grupo_ocu9_damian,train,5302,8,8,21,6860
grupo_ocu9_damian,train,8120,5,5,7,4585
