cmo,cmo_label,official_n_destinations,destinations_4d,labels_sinco,n_values_3d,consensus_3d,n_values_2d,consensus_2d,n_values_1d,consensus_1d,all_have_isco88,n_values_isco88,consensus_isco88,n_values_supervision,consensus_supervision,records,population
1250,Técnicos en ciencias sociales,3,2531|2532|2711,Auxiliares en ciencias sociales y humanistas || Auxiliares en servicios jurídicos || Auxiliares y técnicos en pedagogía y en educación,2,NA,2,NA,1,2,TRUE,3,NA,1,0,495,115766
2127,"Directores, gerentes y administradores de área o establecimientos en servicios culturales, de esparcimiento, recreativos, restaurante, hospedaje y otros servicios personales",2,1412|1423,Directores y gerentes de restaurantes y hoteles || Directores y gerentes en servicios funerarios y otros servicios,2,NA,1,14,1,1,TRUE,2,NA,1,0,467,114766
5221,Tejedores de fibras,1,7332,Tejedores de fibras,1,733,1,73,1,7,TRUE,1,7423,1,0,416,112264
5204,"Trabajadores en la elaboración de productos a base de azúcar, chocolate y confitería",1,7515,"Trabajadores en la elaboración de productos a base de azúcar, chocolate, confitería y tabaco",1,751,1,75,1,7,TRUE,1,7412,1,0,386,108837
4113,Trabajadores en la cría de caprinos y ovinos,1,6124,Trabajadores en la cría de caprinos y ovinos,1,612,1,61,1,6,TRUE,1,6121,1,0,323,104595
4101,Trabajadores en el cultivo de cereales,1,6116,Trabajadores en otros cultivos agrícolas,1,611,1,61,1,6,TRUE,1,6111,1,0,310,104289
2125,Directores gerentes y administradores de área o establecimientos de enseñanza e investigación,2,1223|1324,Directores y gerentes en centros de enseñanza y capacitación || Directores y gerentes en centros de investigación y desarrollo tecnológico,2,NA,2,NA,1,1,TRUE,2,NA,1,0,432,101542
6251,Trabajadores en servicios de mensajería en general,1,9722,Repartidores de mensajería (a pie y en bicicleta) y mandaderos,1,972,1,97,1,9,TRUE,1,9151,1,0,360,99221
8150,"Trabajadores de apoyo para la realización de espectáculos, turismo y deporte",5,3222|4233|5251|5254|9713,"Guías de turismo en museos, casinos, parques, cines y otros centros recreativos || Modelos de moda, arte y publicidad || Astrólogos, adivinadores y afines || Entrenadores de animales y ocupaciones relacionadas con el cuidado de mascotas || Trabajadores de apoyo a la realización de espectáculos, deportes y en parques de diversiones",4,NA,4,NA,4,NA,FALSE,4,NA,1,0,340,98871
6110,"Jefes de departamento, coordinadores y supervisores en contabilidad y finanzas",2,1512|3101,"Coordinadores y jefes de área en servicios contables, financieros, banca y seguros || Supervisores de secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte",2,NA,2,NA,2,NA,TRUE,2,NA,2,NA,353,97836
1132,Odontólogos,1,2413,Dentistas,1,241,1,24,1,2,TRUE,1,2222,1,0,360,95541
5280,"Trabajadores en la elaboración y reparación de productos de hule, caucho, plástico y vulcanización de neumáticos",1,7411,"Trabajadores en la elaboración y reparación de productos de hule, caucho, plásticos y vulcanización de neumáticos",1,741,1,74,1,7,TRUE,1,7331,1,0,292,94185
6101,"Jefes de departamento, coordinadores y supervisores en servicios de educación",2,1523|2311,Coordinadores y jefes de área en centros de enseñanza y capacitación || Supervisores e inspectores educativos,2,NA,2,NA,2,NA,TRUE,2,NA,2,NA,440,93003
8122,"Maleteros, equipajeros y empleados de paquetería y guardarropa",2,9711|9712,"Trabajadores de paquetería, maleteros y botones de hotel || Empacadores de objetos y mercancías",1,971,1,97,1,9,TRUE,2,NA,1,0,354,92272
5323,"Operadores de máquinas en la fabricación de calzado y productos de cuero, piel y similares (excepto prendas de vestir)",1,8154,"Operadores de máquinas en el tratamiento del cuero, piel y la elaboración de calzado",1,815,1,81,1,8,TRUE,1,8263,1,0,528,90289
1104,"Ingenieros químicos, industriales y mecánicos",3,2251|2252|2253,Ingenieros químicos || Ingenieros mecánicos || Ingenieros industriales,1,225,1,22,1,2,TRUE,2,NA,1,0,318,89773
7131,"Agentes de bienes raíces y trabajadores en el servicio de arrendamiento de bienes inmuebles (casas, edificios, oficinas, etcétera)",2,4223|4311,"Agentes de bienes raíces || Trabajadores en el alquiler inmobiliario (casas, terrenos, etcétera)",2,NA,2,NA,1,4,TRUE,2,NA,1,0,357,89269
1100,Arquitectos y urbanistas,1,2263,"Arquitectos, planificadores urbanos y del transporte",1,226,1,22,1,2,TRUE,1,2141,1,0,388,88761
5251,"Trabajadores en la fabricación de productos de cemento, cal, yeso, azulejo, piedra y ladrilleros",1,7612,"Trabajadores en la elaboración de productos de cemento, cal, yeso, azulejo, piedra y ladrilleros",1,761,1,76,1,7,TRUE,1,7321,1,0,298,88080
1206,"Técnicos en la operación de equipos de televisión, filmación, proyección y grabación de imagen y sonido y fotógrafos",3,2653|2654|2655,"Auxiliares y técnicos de equipos de grabación y reproducción de video || Auxiliares y técnicos de ingeniería de audio, sonido e iluminación || Fotógrafos",1,265,1,26,1,2,TRUE,1,3131,1,0,351,87130
5160,"Jefes, coordinadores, contratistas y similares en la construcción, instalación, mantenimiento y acabados",1,1615,"Coordinadores y jefes de área en construcción, reparación y mantenimiento",1,161,1,16,1,1,TRUE,1,1313,1,0,271,85955
5227,Zapateros y trabajadores similares,1,7353,Zapateros artesanales,1,735,1,73,1,7,TRUE,1,7442,1,0,374,84221
5231,"Artesanos y trabajadores fabriles en la elaboración de productos de bejuco, vara, palma, carrizo y mimbre, excepto madera",1,7313,"Artesanos de productos de bejuco, vara, palma, carrizo y mimbre, excepto madera",1,731,1,73,1,7,TRUE,1,7331,1,0,201,84169
1363,"Profesores, instructores y capacitadores en educación técnica y capacitación aplicables en la producción y servicios",1,2715,Instructores y capacitadores en oficios y para el trabajo,1,271,1,27,1,2,TRUE,1,2359,1,0,334,83416
4107,Trabajadores en el cultivo de flores,1,6115,Trabajadores en el cultivo de flores,1,611,1,61,1,6,TRUE,1,6112,1,0,145,82306
5501,Conductores de maquinaria móvil para la construcción,1,8351,Conductores de maquinaria móvil para la construcción y minería,1,835,1,83,1,8,TRUE,1,8332,1,0,312,80971
5271,"Instaladores y reparadores de aparatos electrónicos, electrodomésticos y equipos de telecomunicaciones",1,2644,"Trabajadores en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)",1,264,1,26,1,2,TRUE,1,3114,1,0,282,79252
