source_catalog,source_code,source_label,target_catalog,target_code,target_label,evidence_level
CMO,1400,Escritores y críticos,SINCO 2011,2151,Escritores y críticos literarios,tabla_comparativa_oficial_inegi
CMO,1401,Periodistas y redactores,SINCO 2011,2152,Periodistas y redactores,tabla_comparativa_oficial_inegi
CMO,1401,Periodistas y redactores,SINCO 2011,2153,Traductores e intérpretes,tabla_comparativa_oficial_inegi
CMO,1410,Compositores y arreglistas,SINCO 2011,2171,Compositores y arreglistas,tabla_comparativa_oficial_inegi
CMO,1411,Cantantes,SINCO 2011,2173,Cantantes,tabla_comparativa_oficial_inegi
CMO,1412,Músicos,SINCO 2011,2172,Músicos,tabla_comparativa_oficial_inegi
CMO,1413,Actores,SINCO 2011,2175,Actores,tabla_comparativa_oficial_inegi
CMO,1414,Bailarines,SINCO 2011,2174,Bailarines y coreógrafos,tabla_comparativa_oficial_inegi
CMO,1420,Pintores y dibujantes artísticos,SINCO 2011,2161,Pintores,tabla_comparativa_oficial_inegi
CMO,1420,Pintores y dibujantes artísticos,SINCO 2011,2162,"Dibujantes y diseñadores artísticos, ilustradores y grabadores",tabla_comparativa_oficial_inegi
CMO,1421,Escultores y grabadores,SINCO 2011,2163,Escultores,tabla_comparativa_oficial_inegi
CMO,1422,Coreógrafos y escenógrafos,SINCO 2011,2164,Escenógrafos,tabla_comparativa_oficial_inegi
CMO,1423,Decoradores y diseñadores,SINCO 2011,2541,Diseñadores de moda y vestuario,tabla_comparativa_oficial_inegi
CMO,1423,Decoradores y diseñadores,SINCO 2011,2542,Diseñadores industriales,tabla_comparativa_oficial_inegi
CMO,1423,Decoradores y diseñadores,SINCO 2011,2543,Diseñadores gráficos,tabla_comparativa_oficial_inegi
CMO,1423,Decoradores y diseñadores,SINCO 2011,2544,"Decoradores de interiores, jardines y diversos materiales (tazas, llaveros, etcétera)",tabla_comparativa_oficial_inegi
CMO,1430,Directores de producciones artísticas,SINCO 2011,1421,"Directores y productores artísticos de cine, teatro y afines",tabla_comparativa_oficial_inegi
CMO,1431,"Productores y organizadores de actividades artísticas, culturales y deportivas",SINCO 2011,1422,"Directores y gerentes de museos, cines y otros establecimientos deportivos y culturales",tabla_comparativa_oficial_inegi
CMO,1432,"Locutores, conductores y comentaristas de radio y televisión",SINCO 2011,2551,"Locutores de radio, televisión y otros medios de comunicación",tabla_comparativa_oficial_inegi
CMO,1440,Deportistas,SINCO 2011,2561,Deportistas,tabla_comparativa_oficial_inegi
CMO,1450,Árbitros y jueces deportivos,SINCO 2011,2563,Árbitros y jueces deportivos,tabla_comparativa_oficial_inegi
CMO,1451,Entrenadores deportivos,SINCO 2011,2562,Entrenadores deportivos y directores técnicos,tabla_comparativa_oficial_inegi
CMO,1460,Animadores y anunciadores,SINCO 2011,2552,Animadores y organizadores de eventos,tabla_comparativa_oficial_inegi
CMO,1461,"Magos, payasos, malabaristas, cirqueros y similares en establecimientos",SINCO 2011,2553,"Payasos, mimos y cirqueros",tabla_comparativa_oficial_inegi
CMO,2100,Altas autoridades gubernamentales y legislativas,SINCO 2011,1111,Altas autoridades gubernamentales y jurisdiccionales,tabla_comparativa_oficial_inegi
CMO,2100,Altas autoridades gubernamentales y legislativas,SINCO 2011,1112,Legisladores,tabla_comparativa_oficial_inegi
CMO,2101,Presidentes y autoridades municipales,SINCO 2011,1113,Presidentes y autoridades municipales,tabla_comparativa_oficial_inegi
CMO,2110,"Presidentes, directores y gerentes generales en instituciones y empresas públicas, descentralizadas y paraestatales",SINCO 2011,1121,Presidentes y directores generales en instituciones públicas,tabla_comparativa_oficial_inegi
CMO,2111,"Presidentes, directores y gerentes generales en instituciones, negocios y empresas privadas",SINCO 2011,1122,Presidentes y directores generales en instituciones y empresas privadas,tabla_comparativa_oficial_inegi
CMO,2119,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,SINCO 2011,1129,"Otros presidentes y directores generales, no clasificados anteriormente",tabla_comparativa_oficial_inegi
CMO,2120,"Directores, gerentes y administradores de área o establecimientos en servicios de salud",SINCO 2011,1221,"Directores y gerentes en servicios de salud, protección civil y medio ambiente",tabla_comparativa_oficial_inegi
CMO,2121,"Directores, gerentes y administradores de área o establecimientos de finanzas, contabilidad, recursos humanos, administración e impartición de justicia",SINCO 2011,1211,"Directores y gerentes en administración, recursos humanos y mercadotecnia",tabla_comparativa_oficial_inegi
CMO,2121,"Directores, gerentes y administradores de área o establecimientos de finanzas, contabilidad, recursos humanos, administración e impartición de justicia",SINCO 2011,1212,"Directores y gerentes en servicios contables, financieros, banca y seguros",tabla_comparativa_oficial_inegi
CMO,2121,"Directores, gerentes y administradores de área o establecimientos de finanzas, contabilidad, recursos humanos, administración e impartición de justicia",SINCO 2011,1224,"Jueces de juzgado, directores y gerentes en servicios legales y procuración de justicia",tabla_comparativa_oficial_inegi
CMO,2121,"Directores, gerentes y administradores de área o establecimientos de finanzas, contabilidad, recursos humanos, administración e impartición de justicia",SINCO 2011,1321,Directores y gerentes en informática,tabla_comparativa_oficial_inegi
CMO,2122,"Directores, gerentes y administradores de área o establecimientos en actividades comerciales (incluye la venta de seguros y bienes raíces)",SINCO 2011,1411,"Directores y gerentes de ventas, comercialización y alquiler",tabla_comparativa_oficial_inegi
CMO,2123,"Directores, gerentes y administradores de área o establecimientos en comunicaciones y transportes",SINCO 2011,1322,Directores y gerentes en comunicación y telecomunicaciones,tabla_comparativa_oficial_inegi
CMO,2123,"Directores, gerentes y administradores de área o establecimientos en comunicaciones y transportes",SINCO 2011,1323,Directores y gerentes en servicios de transporte,tabla_comparativa_oficial_inegi
CMO,2124,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",SINCO 2011,1312,"Directores y gerentes en producción minera, petrolera y gas",tabla_comparativa_oficial_inegi
CMO,2124,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",SINCO 2011,1313,Directores y gerentes en generación y provisión de energía eléctrica y agua,tabla_comparativa_oficial_inegi
CMO,2124,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",SINCO 2011,1314,Directores y gerentes en producción manufacturera,tabla_comparativa_oficial_inegi
CMO,2124,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",SINCO 2011,1315,"Directores y gerentes en construcción, reparación y mantenimiento",tabla_comparativa_oficial_inegi
CMO,2125,Directores gerentes y administradores de área o establecimientos de enseñanza e investigación,SINCO 2011,1223,Directores y gerentes en centros de enseñanza y capacitación,tabla_comparativa_oficial_inegi
CMO,2125,Directores gerentes y administradores de área o establecimientos de enseñanza e investigación,SINCO 2011,1324,Directores y gerentes en centros de investigación y desarrollo tecnológico,tabla_comparativa_oficial_inegi
CMO,2126,"Directores, gerentes y administradores de área o establecimientos en servicios asistenciales y de readaptación social",SINCO 2011,1222,Directores y gerentes en desarrollo social y económico,tabla_comparativa_oficial_inegi
