stage,function_name,classification,required_sinco_level,additional_requirements,applicable,records_total,population_total,records_classified,records_pending,population_classified,population_pending,record_coverage,population_coverage
all_plus_consensus_official,procesar_vars_laborales,skill_level,sinco1d,Solo requiere SINCO 1d,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_plus_consensus_official,procesar_vars_laborales,mismatch,sinco1d,Tambien requiere escolaridad valida,TRUE,170325,48766853,170240,85,48743627,23226,0.9995009540584178,0.9995237338771891
all_plus_consensus_official,calcular_desajuste_estadistico,mismatch2,sinco1d,Tambien requiere anios_es y referencia estimable,TRUE,170325,48766853,170063,262,48685019,81834,0.9984617642741818,0.9983219339578874
all_plus_consensus_official,procesar_clases_damian,grupo_ocu9_damian,sinco1d (4d preferido para clase),Solo requiere SINCO 1d,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_plus_consensus_official,procesar_clases_damian,isco88_damian,sinco4d,Requiere correspondencia SINCO-ISCO88,TRUE,170325,48766853,151096,19229,43788271,4978582,0.8871040657566417,0.8979105336159379
all_plus_consensus_official,procesar_clases_damian,clase_ocu_damian,sinco1d (4d preferido para clase),Puede recuperar por gran grupo SINCO,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_plus_consensus_official,procesar_clases_damian,calificada_damian,sinco1d (4d preferido para clase),Derivada de clase_ocu_damian,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_plus_consensus_official,procesar_clases_damian,manual_damian,sinco1d (4d preferido para clase),Derivada de clase_ocu_damian,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_plus_consensus_official,procesar_clases_damian,supervisa_damian,sinco4d,Solo requiere SINCO 4d,TRUE,170325,48766853,168491,1834,48268869,497984,0.989232349919272,0.9897884737405549
all_plus_consensus_official,procesar_clases_damian,clase_egp13_damian,sinco4d,Tambien requiere posicion y tamano del establecimiento,TRUE,170325,48766853,157852,12473,45610128,3156725,0.9267694114193453,0.9352690443240207
all_plus_consensus_official,procesar_clases_damian,clase_egp7_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,159366,10959,45999824,2767029,0.9356583003082343,0.9432600459168444
all_plus_consensus_official,procesar_clases_damian,clase_alt6_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,160340,9985,46249251,2517602,0.9413767796858946,0.9483747290398254
all_plus_consensus_official,procesar_clases_damian,macro_egp4_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,160139,10186,46209902,2556951,0.9401966828122706,0.9475678490059631
all_plus_consensus_official,procesar_clases_damian,macro_solis4_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,159787,10538,46097927,2668926,0.9381300455012476,0.9452717197068262
all_plus_consensus_official,procesar_clases_damian,egp3_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,160700,9625,46343901,2422952,0.9434903860267136,0.9503155965384931
all_plus_consensus_official,procesar_clases_damian,baja_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,167004,3321,47888299,878554,0.9805019815059445,0.9819846074545757
