cmo,classification,old_value,new_value,n,w_pre,w_post,historical_target_official,forward,unique_forward,reverse,unique_reverse,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,train_unique_forward,validation_unique_forward,train_unique_reverse,validation_unique_reverse,accepted,reason
7212,grupo_ocu9_damian,9,9,33,7252,7375,TRUE,1,TRUE,1,TRUE,11,22,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
8201,grupo_ocu9_damian,5,5,101,32130,31696,TRUE,0.6889084242801089,TRUE,1,TRUE,48,53,0.5900627670235772,0.7566112716763006,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
1160,grupo_ocu9_damian,2,1,31,6186,6739,TRUE,0.0653717715686689,FALSE,1,TRUE,16,15,0.06199321980135208,0.06922850612171,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
1251,grupo_ocu9_damian,2,1,24,8303,8694,TRUE,0.0859185827521265,FALSE,1,TRUE,14,10,0.12478215406064831,0.046317768724537765,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5251,grupo_ocu9_damian,7,7,47,15780,16362,TRUE,0.8233759457344116,TRUE,1,TRUE,26,21,0.7748812869464096,0.879945738186751,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
8126,grupo_ocu9_damian,9,9,89,21943,22253,TRUE,0.561216399396404,TRUE,1,TRUE,43,46,0.5848915081703724,0.5395908779485171,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
6232,grupo_ocu9_damian,3,2,13,4637,4522,TRUE,0.4872333718608805,TRUE,1,TRUE,6,7,0.4666089965397924,0.5191329943805192,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
1320,grupo_ocu9_damian,2,2,432,121916,120650,TRUE,0.9558965352318078,TRUE,1,TRUE,191,241,0.941926480989429,0.9656112085925453,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
6220,grupo_ocu9_damian,3,3,50,10082,10199,TRUE,0.5761472084119093,TRUE,1,TRUE,23,27,0.42786479802143446,0.7159191829484902,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,sin_mayoria_reciproca_estable
5203,grupo_ocu9_damian,7,7,5,1790,1798,TRUE,0.2623479407885094,FALSE,1,TRUE,3,2,0.2608447488584475,0.2673899170389279,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,muestra_insuficiente
5203,grupo_ocu9_damian,7,9,8,2306,2273,TRUE,0.33797449802139823,FALSE,1,TRUE,4,4,0.2334474885844749,0.6885768985322271,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5344,grupo_ocu9_damian,8,9,20,5781,5689,TRUE,0.09816773930615225,FALSE,1,TRUE,14,6,0.12824569247171302,0.06883134308332216,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5222,grupo_ocu9_damian,7,7,249,62782,63685,TRUE,0.890954502880822,TRUE,1,TRUE,113,136,0.9064217649495926,0.8746096144304019,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
1130,grupo_ocu9_damian,2,2,362,82506,84880,TRUE,0.966474557211133,TRUE,1,TRUE,170,192,0.9454050991501416,0.9890163179206168,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5267,grupo_ocu9_damian,7,7,101,25713,25836,TRUE,0.624799533459688,TRUE,1,TRUE,50,51,0.5374326583689393,0.7206706757720925,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5300,grupo_ocu9_damian,8,3,2,1273,1269,TRUE,0.1385653641014477,FALSE,1,TRUE,1,1,0.2253737064009199,0.024439405391786344,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5441,grupo_ocu9_damian,9,8,36,10604,10789,TRUE,0.5962663067926226,TRUE,1,TRUE,14,22,0.5461000776655941,0.647816668566868,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
1230,grupo_ocu9_damian,2,3,7,1228,1159,TRUE,0.07559714356069934,FALSE,1,TRUE,2,5,0.07779445885082571,0.07379163395760906,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
1230,grupo_ocu9_damian,2,2,59,13884,13932,TRUE,0.8547155872937701,TRUE,1,TRUE,31,28,0.9009144260952641,0.8167545138499496,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
6270,grupo_ocu9_damian,3,8,22,5465,5517,TRUE,0.01874239072654629,FALSE,1,TRUE,11,11,0.029421278294322898,0.008134972177027933,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5521,grupo_ocu9_damian,8,8,384,122701,122362,TRUE,0.8087012113942238,TRUE,1,TRUE,203,181,0.8084858160383152,0.8089507226584728,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
8139,grupo_ocu9_damian,5,5,2,222,224,TRUE,1,TRUE,1,TRUE,2,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,FALSE,muestra_insuficiente
6101,grupo_ocu9_damian,1,1,68,13847,13762,TRUE,0.29975105530901613,FALSE,1,TRUE,27,41,0.23468044160842702,0.3483307497447919,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,sin_mayoria_reciproca_estable
