p3coe,pos_ocu,emple7c,p4a,sinco_original,egp_original,egp_oficial,revision,registros,poblacion,cmo_label,destinos,etiquetas_destinos
2121,1,7,5611,1211,2,NA,requiere_revision_semantica,2,1078,"Directores, gerentes y administradores de área o establecimientos de finanzas, contabilidad, recursos humanos, administración e impartición de justicia",1211|1212|1224|1321,"1211 Directores y gerentes en administración, recursos humanos y mercadotecnia || 1212 Directores y gerentes en servicios contables, financieros, banca y seguros || 1224 Jueces de juzgado, directores y gerentes en servicios legales y procuración de justicia || 1321 Directores y gerentes en informática"
6260,1,3,9700,3141,3,3,original_coincide_con_consenso_oficial,3,1077,"Despachadores, checadores y similares en la operación del transporte",3141|3142,3141 Despachadores de transporte || 3142 Checadores y revisores de transporte
5141,1,6,3250,2630,2,NA,requiere_revision_semantica,2,1072,"Supervisores, inspectores y similares en la fabricación metalúrgica y en la fabricación de productos eléctricos y electrónicos, la reparación y mantenimiento de maquinaria y productos metálicos y de precisión",2630|7201|8201,"2630 Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración || 7201 Supervisores de artesanos y trabajadores en el tratamiento y elaboración de productos de metal || 8201 Supervisores en procesos de ensamblado y montaje de maquinaria, herramientas y productos metálicos y electrónicos"
1204,1,6,8111,2621,2,NA,requiere_revision_semantica,1,1070,"Técnicos en ingeniería química, industrial y mecánica",2621|2631|2633|2635|2637|2645,"2621 Auxiliares y técnicos industriales y químicos || 2631 Técnicos en mantenimiento y reparación de vehículos de motor || 2633 Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales || 2635 Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales || 2637 Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado || 2645 Técnicos en reparación de equipos electromecánicos"
5400,1,6,1110,9236,10,10,original_coincide_con_consenso_oficial,7,1068,"Ayudantes, peones y similares en la fabricación de alimentos, bebidas y productos de tabaco",9236|9411,"9236 Trabajadores de apoyo en la industria de alimentos, bebidas y productos de tabaco || 9411 Ayudantes en la preparación de alimentos"
2124,1,4,2361,1312,2,2,original_coincide_con_consenso_oficial,2,1064,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",1312|1313|1314|1315,"1312 Directores y gerentes en producción minera, petrolera y gas || 1313 Directores y gerentes en generación y provisión de energía eléctrica y agua || 1314 Directores y gerentes en producción manufacturera || 1315 Directores y gerentes en construcción, reparación y mantenimiento"
6160,1,6,4881,1711,1,1,original_coincide_con_consenso_oficial,2,1063,"Jefes de departamento, coordinadores y supervisores en servicios de restaurante, hospedaje y comercio",1711|1712,"1711 Coordinadores y jefes de área de ventas, comercialización y alquiler || 1712 Coordinadores y jefes de área de restaurantes y hoteles"
5141,1,5,3310,2630,2,NA,requiere_revision_semantica,4,1063,"Supervisores, inspectores y similares en la fabricación metalúrgica y en la fabricación de productos eléctricos y electrónicos, la reparación y mantenimiento de maquinaria y productos metálicos y de precisión",2630|7201|8201,"2630 Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración || 7201 Supervisores de artesanos y trabajadores en el tratamiento y elaboración de productos de metal || 8201 Supervisores en procesos de ensamblado y montaje de maquinaria, herramientas y productos metálicos y electrónicos"
5246,1,7,2361,2634,9,9,original_coincide_con_consenso_oficial,1,1057,"Mecánicos, ajustadores, instaladores y trabajadores de mantenimiento y reparación de maquinaria, instrumentos industriales y equipos de refrigeración",2634|2638,"2634 Mecánicos en mantenimiento y reparación de maquinaria e instrumentos industriales || 2638 Mecánicos en instalación, mantenimiento y reparación de equipos de refrigeración, climas y aire acondicionado."
2125,1,7,6111,1223,2,NA,requiere_revision_semantica,6,1050,Directores gerentes y administradores de área o establecimientos de enseñanza e investigación,1223|1324,1223 Directores y gerentes en centros de enseñanza y capacitación || 1324 Directores y gerentes en centros de investigación y desarrollo tecnológico
