strategy,record_coverage_4d,population_coverage_4d,record_coverage_3d,population_coverage_3d,record_coverage_2d,population_coverage_2d,record_coverage_1d,population_coverage_1d,cmo,records,population,records_4d,population_4d,records_3d,population_3d,records_2d,population_2d,records_1d,population_1d,cmo_label,official_destinations_4d,official_n_destinations_4d,official_maximum_level,review_rules,review_rule_types,review_scopes,application_variables,panel_pair_n_max,panel_forward_share_max,panel_reverse_share_max
oficial_panel_enoe,1,1,1,1,1,1,1,1,1251,1522,409151,1522,409151,1522,409151,1522,409151,1522,409151,Técnicos en ciencias contables financieras,2512,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,4110,1392,403490,1392,403490,1392,403490,1392,403490,1392,403490,Trabajadores en la cría de ganado bovino,6121,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,4110,1392,403490,1392,403490,1392,403490,1392,403490,1392,403490,Trabajadores en la cría de ganado bovino,6121,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,4110,1392,403490,1392,403490,1392,403490,1392,403490,1392,403490,Trabajadores en la cría de ganado bovino,6121,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5222,1237,388572,1237,388572,1237,388572,1237,388572,1237,388572,"Sastres, modistos y costureras que confeccionan o reparan prendas de vestir de tela, cuero, piel y similares",7341,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5222,1237,388572,1237,388572,1237,388572,1237,388572,1237,388572,"Sastres, modistos y costureras que confeccionan o reparan prendas de vestir de tela, cuero, piel y similares",7341,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5222,1237,388572,1237,388572,1237,388572,1237,388572,1237,388572,"Sastres, modistos y costureras que confeccionan o reparan prendas de vestir de tela, cuero, piel y similares",7341,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,1,1,1,1,1,1,1205,1407,384735,0,0,1407,384735,1407,384735,1407,384735,"Técnicos en ingeniería eléctrica, electrónica, informática y en telecomunicaciones",2641|2643|2651|2652,4,2d,CMO2012_SINCO2011_SCIAN_1205_14|CMO2012_SINCO2011_P4A_SCIAN2_1205_81,scian_sector|p4a_scian2,aplicacion_auxiliar_ENOE,cmo_4d|scian|cmo_4d|p4a,59,0.912569786980324,0.8466770015502325
oficial_panel,0,0,1,1,1,1,1,1,1205,1407,384735,0,0,1407,384735,1407,384735,1407,384735,"Técnicos en ingeniería eléctrica, electrónica, informática y en telecomunicaciones",2641|2643|2651|2652,4,2d,CMO2012_SINCO2011_SCIAN_1205_14|CMO2012_SINCO2011_P4A_SCIAN2_1205_81,scian_sector|p4a_scian2,aplicacion_auxiliar_ENOE,cmo_4d|scian|cmo_4d|p4a,59,0.912569786980324,0.8466770015502325
oficial_panel_enoe,0.5280739161336176,0.567419132649746,1,1,1,1,1,1,1205,1407,384735,743,218306,1407,384735,1407,384735,1407,384735,"Técnicos en ingeniería eléctrica, electrónica, informática y en telecomunicaciones",2641|2643|2651|2652,4,2d,CMO2012_SINCO2011_SCIAN_1205_14|CMO2012_SINCO2011_P4A_SCIAN2_1205_81,scian_sector|p4a_scian2,aplicacion_auxiliar_ENOE,cmo_4d|scian|cmo_4d|p4a,59,0.912569786980324,0.8466770015502325
oficial,1,1,1,1,1,1,1,1,7130,1565,377224,1565,377224,1565,377224,1565,377224,1565,377224,"Agentes, representantes, distribuidores y proveedores de ventas",4221,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,7130,1565,377224,1565,377224,1565,377224,1565,377224,1565,377224,"Agentes, representantes, distribuidores y proveedores de ventas",4221,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,7130,1565,377224,1565,377224,1565,377224,1565,377224,1565,377224,"Agentes, representantes, distribuidores y proveedores de ventas",4221,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,0,0,0,0,0,0,1220,1280,357870,0,0,0,0,0,0,0,0,Enfermeros y técnicos en medicina humana,2811|2817|2821|2823|2824|2825|2826,7,2d,CMO2012_SINCO2011_GLOBAL_1220,panel_global,validacion_panel_ENOE,cmo_4d,284,0.6681570844054499,0.8948676431825884
oficial_panel,1,1,1,1,1,1,1,1,1220,1280,357870,1280,357870,1280,357870,1280,357870,1280,357870,Enfermeros y técnicos en medicina humana,2811|2817|2821|2823|2824|2825|2826,7,2d,CMO2012_SINCO2011_GLOBAL_1220,panel_global,validacion_panel_ENOE,cmo_4d,284,0.6681570844054499,0.8948676431825884
oficial_panel_enoe,1,1,1,1,1,1,1,1,1220,1280,357870,1280,357870,1280,357870,1280,357870,1280,357870,Enfermeros y técnicos en medicina humana,2811|2817|2821|2823|2824|2825|2826,7,2d,CMO2012_SINCO2011_GLOBAL_1220,panel_global,validacion_panel_ENOE,cmo_4d,284,0.6681570844054499,0.8948676431825884
oficial,0,0,1,1,1,1,1,1,1172,1445,354646,0,0,1445,354646,1445,354646,1445,354646,Contadores públicos,2121|2122,2,3d,CMO2012_SINCO2011_GLOBAL_1172,panel_global,validacion_panel_ENOE,cmo_4d,323,0.7143963281526952,0.7720500206239499
