cmo,aux,old_value,new_value,n,w1,w2,old_official,forward,unique_forward,reverse,unique_reverse,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,train_unique_forward,validation_unique_forward,train_unique_reverse,validation_unique_reverse,feature,passes,rescata_original,motivo
7121,433,8,8,1,65,66,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
5380,222,8,7,1,62,63,TRUE,0.19314641744548286,FALSE,1,TRUE,1,NA,0.24701195219123506,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
5170,211,1,10,1,74,60,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
6110,613,1,3,1,70,71,TRUE,0.20833333333333334,FALSE,1,TRUE,1,NA,0.29914529914529914,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
1250,970,3,3,1,57,58,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
5141,211,2,2,2,133,133,TRUE,0.665,TRUE,1,TRUE,1,1,1,0.5314685314685315,1,1,TRUE,TRUE,TRUE,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
1204,811,2,5,3,423,430,TRUE,0.028059701492537312,FALSE,1,TRUE,3,NA,0.05173679060665362,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
1204,213,2,8,1,340,337,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
1204,488,2,3,1,106,107,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
6121,488,1,1,1,82,104,TRUE,0.37272727272727274,FALSE,1,TRUE,1,NA,0.37272727272727274,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
1204,237,2,2,1,100,127,TRUE,0.625,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
6121,325,1,3,1,119,120,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
8311,483,2,2,1,113,92,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
6180,931,2,7,1,166,156,TRUE,1,TRUE,0.2932330827067669,FALSE,NA,1,NA,1,NA,0.3979591836734694,NA,TRUE,NA,FALSE,p4a3,FALSE,FALSE,muestra_insuficiente
8150,512,4,4,1,1471,1484,TRUE,0.9800133244503664,TRUE,1,TRUE,NA,1,NA,0.9800133244503664,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
7201,434,3,5,1,68,67,TRUE,0.055284552845528454,FALSE,1,TRUE,1,NA,0.09563994374120956,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
5141,326,2,10,1,135,109,TRUE,0.3901734104046243,FALSE,1,TRUE,1,NA,0.3901734104046243,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
1204,311,2,7,1,117,119,TRUE,0.04406779661016949,FALSE,1,TRUE,NA,1,NA,0.08653846153846154,NA,1,NA,FALSE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
1230,313,2,2,1,100,102,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
6121,485,1,2,1,89,70,TRUE,0.10947109471094711,FALSE,0.12237762237762238,FALSE,NA,1,NA,0.125,NA,1,NA,FALSE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
7201,434,3,4,2,153,173,TRUE,0.12439024390243902,FALSE,1,TRUE,NA,2,NA,0.2947976878612717,NA,1,NA,FALSE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
2121,236,2,1,1,89,91,TRUE,1,TRUE,0.558282208588957,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
5141,237,2,7,1,266,277,TRUE,1,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
5170,221,1,8,1,86,84,TRUE,0.04028103044496487,FALSE,1,TRUE,1,NA,0.10058479532163743,NA,1,NA,FALSE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
5100,622,1,7,1,96,93,TRUE,0.11428571428571428,FALSE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
