sinco3d,sinco4d,cmo_4d,label_cmo,propuesta,sinco4dproxy,sinco3dproxy,sinco_4d1,sinco_4d2,sinco_4d3,sinco3d1,sinco3d2,sinco3d3
751,7513,5202," Trabajadores en la elaboración de pan, tortilla, repostería y otros productos de cereales y harinas",auto,,,,,,,,
751,7514,5203, Trabajadores en la elaboración de productos a base de frutas y verduras,auto,,,,,,,,
751,7515,5204," Trabajadores en la elaboración de productos a base de azúcar, chocolate y confitería",auto,,,,,,,,
751,7515,5205, Trabajadores en la elaboración de productos de tabaco,auto,,,,,,,,
751,7517,5206, Trabajadores en la elaboración de bebidas alcohólicas y no alcohólicas,auto,,,,,,,,
751,7516,5207," Trabajadores en la elaboración de aceites, grasas, sal y especias",auto,,,,,,,,
511,5111,5208, Trabajadores en la elaboración de comidas,auto,,,,,,,,
799,7999,5209,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
711,7111,5210, Mineros,auto,,,,,,,,
711,7112,5211,"Trabajadores en la extracción de cantera, arcilla, arena, piedra y grava",auto,,,,,,,,
733,7331,5220, Preparadores de fibras e hilanderos,auto,,,,,,,,
733,7332,5221, Tejedores de fibras,auto,,,,,,,,
734,7341,5222,"Sastres, modistos y costureras que confeccionan o reparan prendas de vestir de tela, cuero, piel y similares",auto,,,,,,,,
734,7342,5223," Artesanos y confeccionadores de productos de tela, cuero, piel y similares (excepto prendas de vestir)",auto,,,,,,,,
734,7343,5224, Bordadores y deshiladores,auto,,,,,,,,
735,7351,5225, Tapiceros,auto,,,,,,,,
735,7352,5226," Peleteros, cortadores, curtidores y pintores de cuero, piel y similares",auto,,,,,,,,
735,7353,5227, Zapateros y trabajadores similares,auto,,,,,,,,
734,7344,5228," Patronistas de productos de tela, cuero, piel y similares",auto,,,,,,,,
799,7999,5229,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
731,7313,5231," Artesanos y trabajadores fabriles en la elaboración de productos de bejuco, vara, palma, carrizo y mimbre, excepto madera",auto,,,,,,,,
732,7321,5232, Artesanos y trabajadores fabriles en la elaboración de productos de papel y cartón,auto,,,,,,,,
732,7322,5233," Impresores, linotipistas, fotograbadores y similares",auto,,,,,,,,
732,7323,5234, Reveladores e impresores de fotografías y similares,auto,,,,,,,,
799,7999,5239,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
721,7211,5240," Moldeadores, caldereros y torneros",auto,,,,,,,,
721,7212,5241, Soldadores y oxicortadores,auto,,,,,,,,
721,7213,5242," Hojalateros, chaperos y pintores de metales",auto,,,,,,,,
722,7223,5243," Joyeros, orfebres, plateros, latoneros y cobreros",auto,,,,,,,,
722,7222,5244," Cerrajeros, pulidores de metal y afiladores de herramientas",auto,,,,,,,,
263,2632,5245," Mecánicos, ajustadores y trabajadores de mantenimiento y reparación de vehiculos de motor (aviones, automóviles, etcétera)",auto,,,,,,,,
263,2636,5247," Mecánicos, ajustadores, instaladores y trabajadores de mantenimiento y reparación de instrumentos musicales (pianos, etc.) y de precisión (relojes, básculas, etcétera)",auto,,,,,,,,
722,7221,5248," Herreros, balconeros, aluminadores y forjadores",auto,,,,,,,,
761,7611,5250, Alfareros y trabajadores ceramistas,auto,,,,,,,,
761,7612,5251," Trabajadores en la fabricación de productos de cemento, cal, yeso, azulejo, piedra y ladrilleros",auto,,,,,,,,
761,7613,5252, Trabajadores del vidrio y similares,auto,,,,,,,,
761,7614,5253," Trabajadores en la elaboración de productos de hueso, concha, coral y similares",auto,,,,,,,,
799,7999,5259,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
712,7121,5260, Albañiles,auto,,,,,,,,
713,7135,5261, Pintores de brocha gorda,auto,,,,,,,,
713,7131,5262," Yeseros, escayolistas y otros recubridores de techos y paredes",auto,,,,,,,,
712,7122,5263," Techadores (colocadores de palapas, etcétera)",auto,,,,,,,,
713,7132,5264," Instaladores de mosaicos, azulejos, pisos y baldosas",auto,,,,,,,,
263,2638,5265, Instaladores de aislantes y climas artificiales,auto,,,,,,,,
713,7133,5266," Instaladores de materiales de impermeabilización, vidrio, papel tapiz, alfombra y otros materiales en la construcción",auto,,,,,,,,
713,7134,5267," Plomeros, fontaneros e instaladores de tubería",auto,,,,,,,,
711,7113,5269, Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,auto,,,,,,,,
264,2642,5270, Electricistas y linieros,auto,,,,,,,,
264,2644,5271," Instaladores y reparadores de aparatos electrónicos, electrodomésticos y equipos de telecomunicaciones",auto,,,,,,,,
264,2646,5272, Reparadores de equipos electromecánicos,auto,,,,,,,,
264,2649,5279,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
741,7411,5280," Trabajadores en la elaboración y reparación de productos de hule, caucho, plástico y vulcanización de neumáticos",auto,,,,,,,,
741,7412,5281, Trabajadores en la elaboración de sustancias y compuestos químicos,auto,,,,,,,,
799,7999,5290,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
816,8161,5300," Operadores de máquinas en la preparación de la carne, pescado y sus derivados",auto,,,,,,,,
816,8161,5301, Operadores de máquinas en la fabricación de leche y lácteos,auto,,,,,,,,
816,8161,5302," Operadores de máquinas en la fabricación de pan, tortilla, repostería y otros productos de cereales y harinas",auto,,,,,,,,
816,8161,5303, Operadores de máquinas en la preparación de frutas y legumbres,auto,,,,,,,,
816,8161,5304," Operadores de máquinas en la fabricación de azúcar, café, chocolate, té y confitería",auto,,,,,,,,
816,8162,5305, Operadores de máquinas en la fabricación de productos de tabaco,auto,,,,,,,,
816,8163,5306, Operadores de máquinas en la fabricación de bebidas alcohólicas y no alcohólicas,auto,,,,,,,,
816,8161,5307," Operadores de máquinas en la fabricación de aceite, grasas, sal y especias",auto,,,,,,,,
819,8199,5309,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
811,8111,5310,Operadores de máquinas y equipos para la extracción en minas y canteras,auto,,,,,,,,
811,8112,5311,Operadores de máquinas y equipos para la extracción de pozos petroleros,auto,,,,,,,,
811,8113,5312,Operadores de máquinas y equipos para la obtención de agua,auto,,,,,,,,
819,8199,5319,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
815,8151,5320, Operadores de máquinas de hilar y rebobinar,auto,,,,,,,,
815,8152,5321," Operadores de telares y máquinas para fabricar tejidos de punto, telas y alfombras",auto,,,,,,,,
815,8153,5322," Operadores de máquinas de coser, bordar y cortar para la fabricación de productos textiles y prendas de vestir",auto,,,,,,,,
815,8154,5323," Operadores de máquinas en la fabricación de calzado y productos de cuero, piel y similares (excepto prendas de vestir)",auto,,,,,,,,
815,8155,5324," Operadores de máquinas para blanquear, teñir, limpiar y planchar productos textiles, de cuero, piel y similares",auto,,,,,,,,
819,8199,5329,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
814,8141,5330, Operadores de máquinas para el tratamiento de la madera y fabricación de triplay y aglomerados,auto,,,,,,,,
814,8143,5331, Operadores de máquinas en la elaboración de celulosa y fabricación de papel y similares,auto,,,,,,,,
814,8142,5332," Operadores de máquinas para la fabricación de productos de madera y similares (bejuco, vara, carrizo, mimbre, etcétera)",auto,,,,,,,,
814,8144,5333, Operadores de máquinas para la impresión y encuadernación,auto,,,,,,,,
814,8145,5334, Operadores de máquinas para la fabricación de productos a base de papel y cartón,auto,,,,,,,,
819,8199,5339,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
812,8121,5340," Operadores de hornos metalúrgicos, coladores y laminadores",auto,,,,,,,,
812,8122,5341, Operadores de máquinas trefiladoras y estiradoras de metales,auto,,,,,,,,
812,8123,5342," Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metal",auto,,,,,,,,
812,8123,5343," Operadores de máquinas que cortan, perforan, doblan, labran, etc., piezas y productos metálicos",auto,,,,,,,,
821,8211,5344," Ensambladores y montadores de herramientas, maquinaria, equipos y productos metálicos",auto,,,,,,,,
821,8212,5345, Ensambladores y montadores de partes eléctricas y electrónicas,auto,,,,,,,,
819,8199,5349,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
817,8172,5350, Operadores de máquinas en la fabricación de productos de cerámica,auto,,,,,,,,
817,8172,5351," Operadores de máquinas en la fabricación de productos de mosaico, azulejo y similares",auto,,,,,,,,
817,8171,5352," Operadores de máquinas en la fabricación de cemento, cal, yeso y productos de cemento",auto,,,,,,,,
817,8173,5353, Operadores de máquinas en la fabricación de vidrio y productos de vidrio y similares,auto,,,,,,,,
819,8199,5359,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,auto,,,,,,,,
811,8114,5360,"Operadores de equipo portátil especializado para la construcción (perforadora, barrenadora, compresora, etcétera) ",auto,,,,,,,,
