source_code,source_label,n_destinations_4d,destinations_4d,target_4d_unique,n_destinations_3d,destinations_3d,target_3d_unique,n_destinations_2d,destinations_2d,target_2d_unique,n_destinations_1d,destinations_1d,target_1d_unique,maximum_unambiguous_level,decision_status_4d
2131,Directivos de organizaciones empresariales,1,1133,1133,1,113,113,1,11,11,1,1,1,4d,official_unique
2132,Directivos de organizaciones sindicales,1,1132,1132,1,113,113,1,11,11,1,1,1,4d,official_unique
2133,"Directivos de organizaciones humanitarias, religiosas, asociaciones civiles y ejidales",2,1134|1135,NA,1,113,113,1,11,11,1,1,1,3d,official_multiple_unresolved
2139,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,1999,1999,1,199,199,1,19,19,1,1,1,4d,official_unique
2190,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,1999,1999,1,199,199,1,19,19,1,1,1,4d,official_unique
4100,Trabajadores en el cultivo de maíz y/o frijol,1,6111,6111,1,611,611,1,61,61,1,6,6,4d,official_unique
4101,Trabajadores en el cultivo de cereales,1,6116,6116,1,611,611,1,61,61,1,6,6,4d,official_unique
4102,Trabajadores en el cultivo de algodón y/o henequén,1,6116,6116,1,611,611,1,61,61,1,6,6,4d,official_unique
4103,Trabajadores en el cultivo de hortalizas y verduras,1,6112,6112,1,611,611,1,61,61,1,6,6,4d,official_unique
4104,Trabajadores en el cultivo de café y/o cacao,1,6113,6113,1,611,611,1,61,61,1,6,6,4d,official_unique
4105,Trabajadores en el cultivo de tabaco,1,6113,6113,1,611,611,1,61,61,1,6,6,4d,official_unique
4106,Trabajadores en el cultivo de frutales,1,6114,6114,1,611,611,1,61,61,1,6,6,4d,official_unique
4107,Trabajadores en el cultivo de flores,1,6115,6115,1,611,611,1,61,61,1,6,6,4d,official_unique
4108,"Trabajadores en otros cultivos agrícolas no mencionados anteriormente (caña, nopal, cártamo, etcétera)",1,6116,6116,1,611,611,1,61,61,1,6,6,4d,official_unique
4109,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,2,6119|9111,NA,2,611|911,NA,2,61|91,NA,2,6|9,NA,unresolved,official_multiple_unresolved
4110,Trabajadores en la cría de ganado bovino,1,6121,6121,1,612,612,1,61,61,1,6,6,4d,official_unique
4111,Trabajadores en la cría de porcinos,1,6122,6122,1,612,612,1,61,61,1,6,6,4d,official_unique
4112,Trabajadores en la cría avícola,1,6123,6123,1,612,612,1,61,61,1,6,6,4d,official_unique
4113,Trabajadores en la cría de caprinos y ovinos,1,6124,6124,1,612,612,1,61,61,1,6,6,4d,official_unique
4114,Trabajadores en la apicultura,1,6126,6126,1,612,612,1,61,61,1,6,6,4d,official_unique
4115,"Trabajadores en la cría de equinos (caballos, burros y mulas)",1,6125,6125,1,612,612,1,61,61,1,6,6,4d,official_unique
4116,"Trabajadores en la cría de animales para ornato, espectáculos y laboratorio",1,6127,6127,1,612,612,1,61,61,1,6,6,4d,official_unique
4119,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,2,6129|9112,NA,2,612|911,NA,2,61|91,NA,2,6|9,NA,unresolved,official_multiple_unresolved
4120,Trabajadores que combinan actividades agrícolas con ganaderas,2,6131|9113,NA,2,613|911,NA,2,61|91,NA,2,6|9,NA,unresolved,official_multiple_unresolved
4130,"Taladores, trozadores, cortadores de árboles y similares",1,6221,6221,1,622,622,1,62,62,1,6,6,4d,official_unique
4131,"Caucheros, chicleros, resineros y similares",1,6222,6222,1,622,622,1,62,62,1,6,6,4d,official_unique
4132,Trabajadores en viveros,1,6223,6223,1,622,622,1,62,62,1,6,6,4d,official_unique
4133,"Trabajadores en actividades de plantación, reforestación y conservación de bosques",1,6224,6224,1,622,622,1,62,62,1,6,6,4d,official_unique
